dt,feedback_text_en
2019-04-10,"Dear ladies and gentlemen, unfortunately I had to find out that the two soles of the shoes broke after 2 months. Please check my complaint. Best regards, xxx"
2019-04-09,xxx teams I have. 3 items Order but missing on the packages xxx I get the extra or have you forgotten it?
2019-04-01,xxx is broken. Opens while wearing. Ask for information on how we can proceed.
2019-04-01,"Dear xxx Team! I have a reminder to my order xxx. However, I have not kept the entire order, so I do not know what amount is still outstanding. I ask you to check this again !! For the article xxx by xxx I got a credit of 42,48 €, because the zipper was released. New Look 20,00 € GO xxxxxx xxxxxx - Top - dark burgundy Size: 40 New Look 16,99 € xxx - black Size: 3 Even &amp; Odd 19,99 € Top - black Size: L Nike Sportswear 39,90 € xxxxx - Sweatpants - Black Size: M I have already sent back the above articles to you, as well as the article xxxxx - Sweatpants, back to the company &quot;Engelhorn&quot;. Please reply soon Sincerely, xxx"
2019-03-17,"Dear xxx Team, I still have not got my package ... unfortunately there is always problem with DHL. xxx"
2019-04-26,"Hello xxx team, unfortunately I have to submit a complaint to my above order or I would like to complain. Said shoe is beautiful without question, however, I was a week on vacation and the shoe had to carry me through the cities. Of course, even a drop of rain came from the sky, what a leather shoe actually nothing more. Unattractive is then, of course, if the small fine detail on the shoe causes such ugly black spots on the leather, that you do not want to wear it anymore. After the first wearing I got the spots even xxx, after a week that looks quite different. Dark to greenish spots have formed under the ornamental bows, very ugly. This shoe is for me unfortunately an absolute bad buy and I ask, even if already worn, to Rücknahem and refund. I am happy to send photos. Best regards from xxx, xxx"
2019-03-17,"When worn for the first time, the seam on the sleeve is torn open"
2019-03-19,"Dear xxx Team, I ordered last week and my parcel has still not arrived. I wanted to ask me if there are problems? Please help me. Sincerely, xxx"
2019-04-02,"Customer service xxx, unfortunately I have sent the complete proposal goods selection back. The tops were too tight at the arms. The pants on the waistband are not high enough and the lengths too short. Had attempted the second try at you but my size and my taste do not coincide. Therefore, I refuse connection suggestions. Yours sincerely, xxx"
2019-03-29,"The flat sandals only one sandal was delivered, I have given them on the return as broken"
2019-05-03,clear and simple website and explanations clearly defined
2019-04-27,"Dear ladies and gentlemen, in the swimsuit by Next I found a defect (ruptured seams) on the right side. This was already available when unpacking, I can gladly send you photos of it, if desired. xxx"
2019-04-29,Fast delivery and top quality of the delivered goods. Always happy again :)
2019-03-17,"Good day. I would have a question about the orders xxx and xxx Yesterday I received a message that my packages will be delivered to me on 12.3. Unfortunately, I have received nothing until today. Maybe something went wrong? I also did not receive a pick-up form. Best regards Nadège"
2019-04-09,"Hello, I have sent this article back. Unfortunately this was not mentioned in the return email and I am supposed to pay it now. Thank you for clarification Thank you very much Sincerely, xxx"
2019-04-11,"Hello dear xxx, I&#39;m still waiting for the article to be sent by Planet Sports from this order. Can you please clarify for me when the shoes will be shipped? Thanks and regards, xxx"
2019-04-26,"In general, I am satisfied with everything"
2019-04-05,"Dear Sirs, I have received a reminder to order xxx. However, I have already ordered the article for this order together with an article from the order xxx with a total amount of 69.90 euros on 25.03.xxxx for transfer. The receipt of payment was confirmed to me by email also by your company. In addition, I have the second article from the order xxx on 25.03.xxxx returned. Also for this I received a confirmation of the return by email. I have fulfilled all my obligations. An appropriate test is requested. Best regards xxx"
2019-04-16,"Dear Sir or Madam, More than a week ago I sent you back the part of the order that I had not paid. However, the amount will still be displayed as open. Please let me know if my return arrived. Many Thanks. Sincerely, xxx"
2019-03-08,"Dear xxx-Team, referring to the reminder sent reminder I would like to inform you that the item [Panama xxx - grass marron / brown] was also included in the same return package sent by email on 18.02.xxxx as was confirmed. In this respect, this item has been sent back and there is no further payment. I would therefore ask you to check the project internally. Thanks and best regards, xxx"
2019-05-03,Great value for money.
2019-04-01,"Hello, I ordered the xxx backpack some time ago, but used it again. I check all my orders for defects, etc., at that time there was nothing in it, so I kept it. Now I have not used the backpack for a week and the zipper has already broken. Without the backpack was overcrowded, was dragged on the zipper or to go into another condition. I just wanted to open the Ruckack. It is now the case that the zipper does not open or close. I ask for a refund of the total amount and a return slip. Thank you and best regards, xxx"
2019-03-17,"Good day, unfortunately, I noticed that the ankle boots - although worn only now and then - already have damage. The bonding between shoe and sole dissolves in places. As a result, when it rains water xxx. Unfortunately I can not send any photos via the form. Maybe you can tell me an e-mail address. I am pleased with a proposal on how we can handle the situation. Sincerely, xxx"
2019-04-18,"Hello, have transferred from the above order the invoice amount of xxxx90 euros with the order xxx - on 22.04.xxxxx Unfortunately, no mention of the above order number. I ask for consideration here. If you have any questions, do not hesitate to contact me."
2019-04-01,"Dear xxx-Team, I have unfortunately overlooked, before sending the order again to check my user data again or I have not noticed the error: My family name has changed, he is since the beginning of this year &quot;amount&quot;. All other data remained the same. DL could not deliver the program because of the &quot;wrong&quot; name, because my data has already been updated there. Would it be possible that you send the order again to my now corrected packing station address? LG, xxx crowd"
2019-04-30,"Everything good, fast shipping ... just a great tip"
2019-04-23,"Dear ladies and gentlemen, on 17.04.19 we made a transfer of 71,93 Euro. Purpose was customer no. xxx. Was this amount credited to my account? Thanks in advance and best regards xxx"
2019-03-17,"Dear xxx-Team, I have kept two parts from the named order, sent the rest back. I have kept: black shirt size. 46 xxxxxxxxxxxxx and swimming shorts green xxx. xxx. Therefore I will transfer the outstanding amount of 88,94 Euro. Everything else I sent back. The following delivery according to their overview sent on 27.02.19, was never sent to me: Article no .: xxx (bikini) and article no .: xxx (swimming shorts). I ask for examination and as soon as possible feedback. This is the second time that it does not fit with the order / invoice. Sincerely, xxx"
2019-04-25,"Dear Team, The package was automatically sent back to you, as according to the post my address was incorrect. I have now made a new order (xxx). I just wanted to get in touch so I would not be charged twice for the same order. I ask for your answer and best regards, xxx"
2019-03-27,"Dear Ladies and Gentlemen, Unzwar I have a problem with the payment, because it came to difficulties with the payment from my employer to my account and now my salary is transferred only 10 days later. I wanted to ask if there is a possibility to extend the period exceptionally by 10 days, so I only on 09.04.xxxx pay. Best regards xxx"
2019-03-28,"Hello!! The invoice for the order number has already been settled on 24.03.xxxx, have you been able to determine the payment receipt? Was transferred by xxx, not mine. Order number was specified .. At xxx it shows me that still 0.05 € are open? Can that be true? Please provide brief info! Thank you. Sincerely, xxx"
2019-03-21,"Hello, Within the last two weeks, the loop for hanging the jacket on hooks has produced an ever-increasing gap at the seam. Meanwhile I do not dare to use them anymore. Yes, the jacket is quite heavy, but this should be considered in the production and not be useless after half a season. You can hang the jacket on the hood, but there it would (as this is not intended) probably even faster material damage produce. Also on the outer pockets seams have been solved, on both sides in the same way. I like to wear the jacket and would like to keep it, but these production errors question that already. What options do we have here? Best regards xxx"
2019-03-27,"Hello, I was wondering why I received a new reminder about this order, although I triggered the payment of 58.48 euros already 10 days ago. After I received your reminder over 41,47 Euro today, it occurred to me after some brooding. For this order you have internally assigned two order numbers, without telling me. However, I only paid for one order number and therefore assumed that the matter had been settled. If you make such a mess, you should not be surprised that your customers are in the rain and do not know what to do. For me, only the number xxx exists. The specified second number I do not know. Consequently, I have transferred to the end number xxx only part of the Freeman T. Porter pants, although I actually wanted to pay the Drykorn pants. It took a while until I came to your mistake. I will pay the Drykorn pants in the next few days, but without your fees, because the error is clearly yours. Best regards, xxx"
2019-03-21,"Dear Ladies and Gentlemen, I have on 6.3.xxxx the amount for my orders (2 items) transferred. 64,95 € for Addidas Tracksuit 19,95 € xxx. I have transferred the whole amount 85 €."
2019-04-01,"Hello I bought this rain jacket from xxx at you xxxx in May. In the case of the jacket, the waterproof seam tape of the seams has come loose in several places, so that the seams are unfortunately no longer tight in the rainfall. I ask you to consider a possible complaint and tell me the further course of action. For further questions I am gladly at your disposal. If necessary, I can also send you pictures of the damage. With kind regards xxx"
2019-03-21,xxx We can not find the return ticket for the order xxx because it does not even display this article. What should we do? Thank you in advance xxx
2019-04-02,"Hello, the Clarks shoes currently cost only € 69.99 instead of about € 84 as ordered. Can I only transfer 69,99 € for this model? xxx"
2019-04-18,"Dear xxx Team, I received a credit from the Wardrobe App for instant sale. Would it be possible to use the order number with the credit note?"
2019-03-27,Hello. Please send me a shipping note / return slip. Many Thanks
2019-03-28,"I&#39;m missing the return ticket for the Air Max 97 UL 17, so I can send it back to the xxx partner &quot;Schuhe.de&quot;."
2019-04-18,"Hello, unfortunately, the fabric breaks directly at the seams (without much force!). On the right leg on the inner side of the thighs I was able to sew the defect on my own, but now the fabric also fuses on the left front trouser pocket. Therefore, I would like to complain the pants with the request for purchase price refund. Sincerely, xxx"
2019-04-01,"I returned all of this order except for the Birkenstock Madrid Toffee for 60.- I paid for it over a month ago. Now I received a reminder for the Birkenstock Madrid Brown for 42.00.-. I did not keep this special but sent back, so I will not pay the amount for a shoe I do not have. Could it be that something went wrong here?"
2019-04-19,"Good day On 7.3 I received an email that I will receive my order in 1-2 days. According to shipment tracking my package should have arrived at my place, however, is neither in the stairwell anything nor I have a collection invitation at the post office. When can I expect my order? Thank you for your reply. xxx"
2019-03-01,"Good evening Thank you for your delivery. I would like to keep the jacket because I like it very much. Since the amount is slightly higher, I would like to ask you if it would be possible to pay these in 2 or 3 installments? Thank you sincerely for the reply and I wish you a quiet evening. Yours sincerely xxx"
2019-03-28,"Dear ladies and gentlemen, I have to the following order (order number: xxx) the money I have already paid for one pants and the other pants I have sent back. Now I would like to know if you have not received the money and the return. Yours sincerely. xxx"
2019-04-22,"I get daily again a DHL info, that the delivery is delayed ... :-( What is going on and why does the delivery this time so long?"
2019-03-17,"Dear xxx team, one of the ordered jeans was not included in the package. Do I just note that on the return slip? Will a new one be automatically sent to me or will I have to order it again? Greetings xxx"
2019-03-17,"Good morning, why is my order still not shipped? Usually it always worked very fast, now I&#39;m waiting and actually needed the stuff. greetings"
2019-04-09,"Hello! I have a package from a xxx partner (xxx) here. I would like to return the T-shirt, but the return label was damaged by my package tape so that the ink fades and the font and the barcode are no longer readable. Can I get a new return label please? Many Thanks!"
2019-04-01,"Dear Ladies and Gentlemen, on Thursday, 21.3. I received the order for the above order number. I keep only the yellow handbag of the company &quot;Hallhuber&quot; from this order. This has already broken when worn for the first time, because the seam of the strap has loosened. Therefore, I have on Saturday, 23.3. 19 already visited a branch of the company &quot;Hallhuber&quot;, which has the bag retuned together with the invoice and the data. Because of that, I have not transferred the bill, because I am still waiting for a feedback or return confirmation. Please tell me how to proceed now. Sincerely, xxx"
2019-04-02,"Hello, Today I received this pack. However, the above article is missing in the package. Yours sincerely"
2019-04-01,I have returned everything from this order except for the green velvet dress by Mango. I paid the dress today. Now I also get a payment reminder for the xxxxxxxx The package has arrived at your place? Best regards
2019-03-27,"Good day I ordered these shoes, removed the label and saw that the material on the front of the shoe is a xxx and I wanted to ask now what you could do that the shoes are not cheap for that it has a scratch. I hope, we find a solution. Thanks in advance for your help. Yours sincerely Mr. xxx"
2019-04-01,"Hello, I have already stated by phone that the package was damaged and items were missing. I was told to send a claim to DHL to report the error. I also sent the form to xxx. Now I have received an email that I should settle my bill, but I have the package as described in the damage report to DHL sent and they should then send back to xxx, but this may take a while. My question is now, why should I pay the amount of xxxx13 € although I have already sent the things back? xxx"
2019-03-22,"I could capture the payment only now, because my Ebanking did not want to release the payment ... I ask therefore no further steps to initiate since the payment is transferred latest Tuesday 26.03.xxxx ... Thank you very much for understanding and an evening"
2019-04-01,"Dear xxx-Team, Unfortunately I have to inform you that I have not received my parcel until now. The shipment tracking gives no information where my order remained. I ask for information. Sincerely, xxx"
2019-03-21,"Logo stick is unclean / threads are off, some crooked seams"
2019-04-25,"Dear Ladies and Gentlemen, I have a 10% voucher. Can you please apply this next to my order? Coupon Code: xxx Thank you and best regards xxx"
2019-04-15,"Hello, I accidentally transferred too much money for the order because I only kept 1 pair of pants and sent 2 back. Could you transfer the money back to me? Sincerely, xxx"
2019-03-28,"This shoe came via eleven teamsports, Im Winkel 2-3, xxx directly to me and I would like to send this shoe back. Unfortunately, no returns label is included. You sent me one earlier, but it would go to xxx and that does not fit. xxx"
2019-05-03,"Prompt delivery, you can choose manufacturer."
2019-03-28,"I have sent this delivery back some time ago and have not received any confirmation of receipt from you yet. Did the goods arrive? xxx, xxx"
2019-03-17,"Hello I ordered running shoes (Asics running shoe stability) from xxx (partner: outfitter). I would like to send the running shoes back (too small). But in the package were no return documents. How can I send the running shoes back? I have not found a return ticket at www.xxx.ch. Best regards, xxx"
2019-03-27,"Hello, I have already written to you several times that there is no open payment for the order. What I have kept in the amount of xxxx90 euros is paid. Why am I still receiving reminders for 25 euros?"
2019-03-17,"Dear Sirs, I have noticed that I forgot to pay for this order. Please excuse me. I will settle this by the end of March at the latest. Would this be okay without further action being taken? Thank you and best regards xxx"
2019-04-09,"Hello, on 12.04.xxxx I ordered the above polo shirt from xxx. After washing, however, I noticed that there is a small spot below the collar, which is still present after washing. The polo was not worn, but tried on after unpacking and washed. What can I do? A return would be a shame to me, because of the small spot, but due to the price of the shirt, it is still quite annoying. I would be very happy about a suggestion / solution! Best regards and a nice week xxx"
2019-04-08,"Hello, I have ordered both shoes and would like to send them back now. Unfortunately there was no return slip in the package. I would need this once. Best regards xxx"
2019-03-26,"Hello, I would like to return the Reebok tshirt from my order, it was sent individually and unfortunately there is no return label in the package. Best regards xxx"
2019-04-09,xxx
2019-04-09,"I want the article, a pair of NEXT xxx. Send back xxxx. But I have no return label."
2019-04-23,"I have received an email that is missing the payment. The things of contractors I have sent back. Would you send xxx, but you can not answer to their mails ..."
2019-04-11,I have specified this item as a return and now I would like to keep it. What do I have to do?
2019-03-27,"Dear xxx team, I just wanted to ask you once if my order was received, because since Tuesday, the 26.03.xxxxx stands as a &#39;waiting&#39; status. Thank you in advance and best regards, xxx"
2019-03-25,"Hello, unfortunately the order has not reached me yet! I ask for a check where the shipment has remained. Sincerely, xxx"
2019-04-16,"Dear Ladies and Gentlemen, I would like to return this article. The shipping bag contains neither an invoice nor a delivery note nor a return receipt. How can I return the article? Best regards xxx"
2019-03-25,"Dear ladies and gentlemen, I would like to complain about an article, in detail it concerns the shoe xxx - black (Article No .: xxx) of the order xxx from 25.09.xxxxx As I like to clarify additionally on still zuzuschickenden pictures (in the contact mask I can not attach any files), is in one of the two shoes in consequence of completely everyday use, the complete sole demolished from the rest of the shoe, while the second shoe shows no such wear. Due to the clearly different signs of wear and tear, I assume that there is a production error and I very much hope that xxx will be able to offer a mutually satisfactory solution to long-term customers as a result of a desirable goodwill. Best regards, xxx"
2019-03-17,"Dear Ladies and Gentlemen, The order was sent by consignment tracking this morning and the same day I get an email about the received return of the article. I did not receive or return the article. I ask you to check this and send me the order as soon as possible. Thank you."
2019-04-26,"Hello, I have unfortunately only 1 dress (black) instead of 2 (black + dark blue) received, xxxxxxen I send this article back. Best regards, xxx"
2019-03-22,"Dear Ladies and Gentlemen, I ask you to cancel the order immediately. Sincerely, xxx."
2019-04-25,"I have received the second reminder, although I have already written two times by mail, that I have the amount of € 27.95 on 11.03.xxxx with the order xxx transferred together. I ask that finally to book. Yours sincerely"
2019-03-31,"Dear Ladies and Gentlemen, In my order above are two items that are now offered at a discounted price. These are no .: xxx and xxx. If the items can be purchased at the current price or if they have to be sent back and then ordered again. Thanks in advance. Sincerely, xxx"
2019-04-09,"Hello, In the package I sent, is the article &quot;Urban Classics OPEN EDGE CREW - Sweatshirt - light rose&quot; and other articles, you have received the return and in the return confirmation email you have sent only these items (PIN TEE - T-shirt print - black / white xxxxxx - Sweatshirt - black xxxxxx - Cap - black) This item also belongs to Urban Classics OPEN EDGE CREW - Sweatshirt - light rose, please check it! Thank you"
2019-04-09,"Hello The package of the partial delivery of Urban Classics was open and the content was missing upon receipt. The claim was reported to Swiss Post. Thus, the post should refund the value of the goods. How do I have to proceed so that I still get the goods (1x xxx black, 1x xxx dark gray)? Best regards xxx"
2019-04-01,"Dear xxx-Team, From this order I kept only the TomShot xxxxxxxs - xxxxxxxe - rose for 44,95 €. All other items I sent back on 07.03.xxxx. Now the pieces of jewelery from this order are reminded. xxx - white xxx #: xxx: One Size € 24.95 xxx - white xxx no .: xxx: One Size 24,95 € Could you please help me? Thank you in advance. Best regards xxx"
2019-03-17,"Hello, I&#39;ve been wearing the shoe for 3 months now and yesterday I hit the sole on a shoe. Although I have worn the shoe regularly, but something should not happen after 3 months. How does it go on here? Thank you and best regards xxx"
2019-04-02,"xxx, Today I received a payment reminder for the order xxx. This order was - as delivered - in a shipment with the order xxx returned and you by DHL (shipment number xxxxxxxxxxxx) today, 05.04.xxxxx at 06.09 clock delivered. Thus, there should be no open claims for both orders. I ask for timely verification and confirmation of receipt of my return. Sincerely, xxx"
2019-04-19,"It is absolutely incomprehensible to me why I get a payment reminder, although I did not even come to pick up the package from the Packstation before my vacation and the shipment has long since declined."
2019-04-02,"Hello, I kept a trench coat, but I&#39;d like to send that back. The coat is unworn and all labels are still on. How can I proceed?"
2019-04-18,Subject: Your e-mail from 08.03.xxxx - Return - Confirmation of access to the above article. Dear Ladies and Gentlemen. The credit has not been made so far. The invoice amount of EUR xxxx95 has been transferred to your account with the value of 25.03.xxxx. It is asked for examination and completion. Sincerely xxx
2019-05-01,"Order and delivery super .. The tracking tracking works in my opinion not so good. ,"
2019-04-02,"I was sent a reminder for payment (&quot;Your payment was due on Tue, 19.03.xxxx Please make sure that the amount of 32.95 € is received as soon as possible&quot;), but I have no article worth 32, Keep 95 €. I have retained from the said order excluding the article xxx Underwear xxx BH - black worth € 44.95. I have already paid the outstanding payment. Therefore I ask you to check my order as well as the return and to withdraw the payment reminder!"
2019-03-28,"I can not select three items that came with the same and only package from xxx to send back. However, all shoes come with a package except the xxx shoe. Can I just clean these three without dialing?"
2019-04-05,"Hello, I wanted to ask how can I return an item if I no longer have the original xxx box? Is it possible to return an item from two different orders to the same box? Thank you for your reply, Best regards, xxx"
2019-03-28,"Ladies and Gentlemen, Can I also redeem my credit later? Otherwise, I would order the xxx shoes from the order even smaller and the same size again to redeem the voucher. However, the shoes in 40 are no longer in sale. I am happy about an answer :)"
2019-04-29,Everything top
2019-04-18,"Ladies and Gentlemen, regarding your payment reminder from 23.04.xxxx I would like to inform you that I have already returned the items. However, I never received a return confirmation via e-mail. If necessary, I can also submit the return receipt. Thanks in advance!"
2019-04-05,"Hello from Hanover, on 31.1.19 I bought a purse &quot;Fossil Richard&quot; from you. Today - in completely &quot;normal&quot; use - the push button of the coin pocket broke away irreparably. Apparently it is a material defect or a quality defect. Unfortunately, the wallet can no longer be closed due to the torn-off push-button. Please tell me the procedure for a complaint. Best regards, xxx"
2019-04-01,"Hello, the xxx partner package from xxx is missing the return ticket. How can I get one? Best regards xxx"
2019-05-02,Fast free delivery goods almost always okay
2019-05-01,Easy handling
2019-03-17,"Dear team, unfortunately I am very dissatisfied with the above dress: after the first wash at 30 degrees (according to washing instructions of the manufacturer), the dress has completely lost color, is convincing with a gray haze and francs in several places or the seams go on , Have also taken corresponding photos, which I would like to send you. That&#39;s a really bad quality. I therefore ask you to take the dress back and refund the amount. Thanks in advance, xxx"
2019-03-19,"Hello, I have missed out on the arrival of my packet the xxxxxxxx xxx thrown .. what can I do?"
2019-04-05,"Hello, today I have received your e-mail that my payment for the above order has not yet been received. However, this order never came to me. Since 26th March xxxx, the status of the shipment tracking (&quot;on the way to the packing station&quot;) has not changed. DHL could give me no information where the package is. Therefore, I will not settle the bill. Please inform me in writing about the cancellation of the payment request. Many Thanks. xxx"
2019-04-12,Please send me a return slip for the Adidas Trefoil Pants Gr. xxx too. The pants are too small. The package was not accompanied by a return ticket.
2019-04-01,"My friend made this order to my address: xxx, xxx, xxx. I do not know if that worked. Can you tell me if the package is coming tomorrow or what happened? Thank you for the quick hardening Best regards xxx"
2019-04-01,"Good day, for the above, completely returned order, I have received a reminder. They had even confirmed the complete return via e-mail. Please put this right. Thanks and regards, xxx"
2019-04-09,"Hi, I ordered the above order with xxx and it still has not arrived. I&#39;ll pay extra for faster delivery and then receive standard shipping. I hope you can understand my anger."
2019-03-17,I do not have a return label and I do not know how to send the returned item to the ground.
2019-03-28,Good evening You have sent me a reminder of 30.00 CHF. Although I had ordered two of the corresponding shirt (Pier One) but received only one. Another shirt (not ordered) was delivered incorrectly. I sent both shirts back and registered it with the return. Could you please cancel the amount still outstanding in the system? Thank you for your feedback. Best regards xxx
2019-04-01,Hello the package arrived today but xxx is missing the G-star pants which is not there even though it stands .. would be glad about a quick answer LG
2019-03-17,Returns not complete
2019-04-01,"xxx, we had phoned a few days ago. I told you that when ordering # xxxxxxxxxxxxxx, I accidentally returned 2 items to xxx, not from xxx, but from another order from an online store. These are the articles xxx and xxx. They told me to want to inform your return office and send me the items back. I have not received the two items yet. Would you please check again and send me back the two articles! I noticed the oversight when I received back the items belonging to xxx from the other online provider. I am truly sorry for these oversights! Please excuse this ! Of course I will pay for the costs incurred!"
2019-04-22,"Hello, I would like to pay my open bills, but have just noticed that the above shirt is not yet noted as a return. I have the shirt but long returned together with the other things. Please check this again and then call me the complete outstanding amount. Thank you and best regards"
2019-04-21,I have already sent the item back.
2019-04-02,"Hey dear team of xxx, I have some time ago place an order, but I had to unpack today to find that two items are missing, but listed in my order. How should I proceed now? xxx"
2019-03-17,The zipper was already hard to close and stopped when closing. Today the zipper did not work anymore.
2019-04-26,All products very well to &quot;filter&quot; to quickly get the desired selection.
2019-03-28,"Dear xxx Team, these pumps are only a few times (about 10 times) I have worn them on the heels. I have the same problem with the red variant (Complaint takes place separately). Too bad as they were relatively comfortable for tall shoes. I wanted to give her a shoe repair service, but he said he can not do anything here. I can send pictures. I ask for a refund of the purchase price after returning the shoe. Best regards, xxx"
2019-04-19,"Hello, I have already received the 3rd reminder although the invoice amount has already been paid for 3 weeks. Please check this immediately."
2019-03-19,"Good day, the above article unfortunately has a broken zipper. The suture in the step will wear after wearing 2 times. xxx"
2019-04-09,"Hello dear xxx team, the above show has been xxxxxxxxs for almost a week. At DHL Shipment Tracking the last update is from 4.4. Did the shipment come back? I did not receive any notification. Best regards xxx"
2019-03-27,Hello! Forgot to enter my coupon code
2019-04-09,"Hello dear xxx team, I would like to xxx the article, but unfortunately (xxx partner) is no sticker for a return with! Yours sincerely, xxx"
2019-03-17,"For order number xxx, all items were sent back up to 3. Article number: XXXxxxxxxx-K11 Article number: XXXxxxxxxx-Q12 Article number: XXXxxxxxxx-G11 Actually, I had only xxxx00 (xxx bag) xxx! BUT provided, including the top 2 items (xxxxxxxxx-K11 &amp; xxx) paid TWICE. A transfer of xxxx90 (39.95 + 39.95 + xxxx00) has been made. 1- How can it get a credit from the double pay pants (39.95 x 2)? 2-Why are the Guess articles that have been returned, not yet confirmed as &quot;returned&quot;? Thanks in advance"
2019-03-11,"Dear company xxx! Subject Payment reminder from xxxx94 € I have the dress: Esprit Collection Casual Dress-navy Item Number: xxx. 42 € 59.99 sent back on 26.02.xxxx. Acknowledgment: Receipt number: xxx number: xxx: xxx: xxx The dress: sheath dress coffee India-Vivi Dress, xxx. xxx, € 53.95 I have kept and will pay it of course. Yours sincerely, Best regards xxx"
2019-03-29,"Good evening I have received a parcel from you, now I wanted to send some clothes back, but got a blank return label. How do I proceed? Thanks in advance for a quick feedback. Yours, xxx"
2019-03-22,"Dear Ladies and Gentlemen, I have used a voucher for the above order. Unfortunately, I have to return a large part of the order. How will the voucher be charged in this case? He can not lapse therefore. Many Thanks! Sincerely, xxx"
2019-03-17,"Hello, the pants are worn out, wash after only one time, the new pants are no longer I have washed at 30 ° and used liquid detergent. Greetings xxx"
2019-04-25,"Hello, Overall I have placed an order for xxxx85 € with you. I sent back the sneakers for € 69.95 and only kept the blazer and the xxx sneakers. The sum of xxxx90 € has already been transferred by me. Unfortunately, I can not fully understand why a remaining amount of € 1.80 should be open? Yours sincerely, xxx"
2019-04-18,"Dear xxx team, on 10.04. I have made the above order with you. After two attempts to pay via PayPal failed, I agreed to the direct debit. The order confirmation also shows that the payment was made by direct debit. Regrettably, it has now come to problems with my Paypal account, where the amount was deducted twice. After a long back and forth with the customer service, a booking could be compensated first. The second payment with the invoice no. - xxxxxxxxxxxxxxxxxxx is still open. In the hope that I may be able to solve the problem more easily with you than with Paypal, I now turn to you for help. Do you have a possibility to refund the payment because I have already paid for my order by direct debit? Thank you in advance for your help and best regards, xxx"
2019-03-29,"Hello, I have received a payment reminder. I have already paid the bill for all 3 parts that I have kept (2 sweaters and 1 SportBH). There seems to be an error. I have kept the sweater xxx and xxx by xxx and also the xxx for all 3 items. I ask for examination. I would send a screenshot, but you can not write a normal mail (because I got a mail back). Instead, I have to choose this awkward way now (after the chat function does not work). For that I would like a compensation of 1.8 € (handling fee on my part). Best regards, xxx"
2019-04-16,"Hello I returned the above order number, with 3 Artikel.Mir, however, only 2 items were returned as confirmed 1 article (xxx) with the above number, I think because it is a small package is overlooked. Perhaps you could look again. Yours sincerely"
2019-05-03,Good service
2019-04-09,Please send me the bill. Thanks a lot!
2019-04-25,"Hello, The parts of Esprit from the above order were delivered via the shipping partner Esprit directly in a separate package. Unfortunately there was missing the part with the article number xxxxxxxxx-H11. Since I have already paid everything, I expect now a subsequent delivery or credit of the part. I ask for your fastest possible feedback. Thank you very much! With best regards xxx (Schott, married)"
2019-04-10,"Dear Ladies and Gentlemen, I would like to complain about the above mentioned article. The t-shirt is sewn unclean and pulls clear threads. The use of the shirt is clearly limited, because it acts as if the seam tearing. I ask you politely for an adjustment of the price. Thank you and best regards xxx"
2019-04-02,"Hello! I apologize for such a delay! In the beginning I was sick for a long time, I apologize again! And if it is possible, I would like to ask you for another week, as under certain circumstances I can not create a translation for tomorrow. I hope for your understanding. Thank you. Yours sincerely"
2019-04-30,Very pleasant user interface / environment. Good communication - the customer is immediately informed about different senders and their associated terms. Fast shipping and safely packed.
2019-05-26,"Please need new documents, thank you."
2019-04-18,"Hello dear xxx team, the package has been sent back I hope it will arrive this week with you despite the whole holidays. Sincerely, xxx"
2019-04-18,"Hello, For this dress sent from the ground I need a return label. There was none. Kind regards"
2019-03-04,"Dear Ladies and Gentlemen, I have received a reminder. Unfortunately, the reminder is incorrect. A few days ago I already noticed in your chat function that I returned the article xxxxxxxxx-K11. Please you can issue me a new invoice accordingly. Thank you and best regards xxx"
2019-05-01,Have a nice day!
2019-04-18,"Good day, the shipment is marked as shipped, but nothing has changed since 10 days. No change in shipping status, no notification. Can you please contact me? Many thanks and best regards xxx"
2019-04-18,"Hello everyone, I have just seen the first reminder and am surprised, because I have returned to the above order everything that I did not need and already paid the wearing clothes. Which garment is the open amount? Best regards, Séverine"
2019-03-28,"Only today I received the outstanding shipment from DHL and you can pick me up tomorrow. A reminder I find at this time very inappropriate. Of course, I can prove the facts. Best regards xxx"
2019-03-23,"Hello I have sent this product back, but I can not register it for return. Can you help me? (All other items from this package I could easily register for return) Merci &amp; best regards xxx"
2019-04-05,"I have already sent the packages to the post office, but did not notice until later when I wanted to enter the returns that I can not do it at two (partner article) what can I do?"
2019-03-07,The &#39;winter jacket - mottled gray&#39; by &#39;Dreimaster&#39; has already released the anchor logo on the arm after 3 weeks and the button of a bag has fallen off.
2019-04-09,In the package of the mango dress no return glue was included. How can I send the dress back?
2019-03-27,Request for cancellation!
2019-03-27,"The return label of the Nike Shorts is invalid. I tried to send these back to various DHL stores, but I was told to contact the dealer to get a new label. The article was not sent to me by xxx, but by a partner. Sincerely, xxx"
2019-04-30,"fast delivery, uncomplicated return"
2019-04-15,"Dear xxx Team! I have received a second reminder for the order xxx. However, the requested item was sent back to me and ordered again, as there was a significant price reduction: xxx Since I do not want to pay the shoe twice, because I have ordered it even once, I ask you to check this carefully. MFG xxx"
2019-05-03,free delivery and fast delivery
2019-03-17,Can I transfer half of the amount and the remainder in two weeks?
2019-04-29,All good!
2019-04-01,"Dear Ladies and Gentlemen! Of this order I have not received the following package: Package 2 of 2 by Mango Posted on Wed, 20.03.xxxxxxxxxxxx - Knitted Sweater - sand xxx Sweater - sand Article No .: xxx Size: S"
